date,time_interval,quantity
2/1/23,7,109
2/1/23,8,228
2/1/23,9,306
2/1/23,10,389
2/1/23,11,347
2/1/23,12,330
2/1/23,13,297
2/1/23,14,265
2/1/23,15,257
2/1/23,16,228
2/1/23,17,261
2/1/23,18,292
2/1/23,19,266
2/1/23,20,228
2/1/23,21,145
2/1/23,22,86
2/1/23,23,39
2/1/23,24,9
2/2/23,0,15
2/2/23,1,6
2/2/23,2,8
2/2/23,3,11
2/2/23,4,7
2/2/23,5,10
2/2/23,6,44
2/2/23,7,111
2/2/23,8,208
2/2/23,9,341
2/2/23,10,383
2/2/23,11,353
2/2/23,12,339
2/2/23,13,297
2/2/23,14,251
2/2/23,15,227
2/2/23,16,269
2/2/23,17,272
2/2/23,18,312
2/2/23,19,294
2/2/23,20,261
2/2/23,21,169
2/2/23,22,92
2/2/23,23,47
2/2/23,24,4
2/3/23,0,16
2/3/23,1,10
2/3/23,2,7
2/3/23,3,8
2/3/23,4,6
2/3/23,5,8
2/3/23,6,45
2/3/23,7,103
2/3/23,8,210
2/3/23,9,326
2/3/23,10,393
2/3/23,11,375
2/3/23,12,344
2/3/23,13,337
2/3/23,14,256
2/3/23,15,281
2/3/23,16,277
2/3/23,17,212
2/3/23,18,345
2/3/23,19,302
2/3/23,20,237
2/3/23,21,187
2/3/23,22,87
2/3/23,23,34
2/3/23,24,5
2/4/23,0,7
2/4/23,1,16
2/4/23,2,14
2/4/23,3,7
2/4/23,4,7
2/4/23,5,8
2/4/23,6,24
2/4/23,7,62
2/4/23,8,129
2/4/23,9,312
2/4/23,10,377
2/4/23,11,407
2/4/23,12,337
2/4/23,13,339
2/4/23,14,354
2/4/23,15,292
2/4/23,16,286
2/4/23,17,326
2/4/23,18,274
2/4/23,19,258
2/4/23,20,190
2/4/23,21,161
2/4/23,22,90
2/4/23,23,43
2/4/23,24,7
2/5/23,0,18
2/5/23,1,12
2/5/23,2,10
2/5/23,3,6
2/5/23,4,13
2/5/23,5,6
2/5/23,6,23
2/5/23,7,60
2/5/23,8,149
2/5/23,9,309
2/5/23,10,369
2/5/23,11,398
2/5/23,12,359
2/5/23,13,301
2/5/23,14,295
2/5/23,15,290
2/5/23,16,333
2/5/23,17,339
2/5/23,18,288
2/5/23,19,222
2/5/23,20,184
2/5/23,21,136
2/5/23,22,75
2/5/23,23,35
2/5/23,24,5
2/6/23,0,17
2/6/23,1,15
2/6/23,2,9
2/6/23,3,6
2/6/23,4,7
2/6/23,5,7
2/6/23,6,32
2/6/23,7,79
2/6/23,8,187
2/6/23,9,336
2/6/23,10,363
2/6/23,11,386
2/6/23,12,360
2/6/23,13,306
2/6/23,14,290
2/6/23,15,219
2/6/23,16,248
2/6/23,17,234
2/6/23,18,263
2/6/23,19,265
2/6/23,20,261
2/6/23,21,164
2/6/23,22,96
2/6/23,23,43
2/6/23,24,9
2/7/23,0,7
2/7/23,1,13
2/7/23,2,10
2/7/23,3,5
2/7/23,4,5
2/7/23,5,10
2/7/23,6,28
2/7/23,7,82
2/7/23,8,184
2/7/23,9,319
2/7/23,10,347
2/7/23,11,352
2/7/23,12,324
2/7/23,13,291
2/7/23,14,251
2/7/23,15,244
2/7/23,16,222
2/7/23,17,289
2/7/23,18,311
2/7/23,19,290
2/7/23,20,274
2/7/23,21,200
2/7/23,22,86
2/7/23,23,35
2/7/23,24,3
2/8/23,0,5
2/8/23,1,13
2/8/23,2,14
2/8/23,3,4
2/8/23,4,11
2/8/23,5,15
2/8/23,6,42
2/8/23,7,84
2/8/23,8,225
2/8/23,9,357
2/8/23,10,348
2/8/23,11,381
2/8/23,12,345
2/8/23,13,329
2/8/23,14,275
2/8/23,15,246
2/8/23,16,189
2/8/23,17,303
