date,time_interval,quantity
2023-06-03,21,209.0
2023-06-03,22,126.0
2023-06-03,23,60.0
2023-06-03,24,6.0
2023-06-04,0,24.0
2023-06-04,1,13.0
2023-06-04,2,8.0
2023-06-04,3,9.0
2023-06-04,4,11.0
2023-06-04,5,12.0
2023-06-04,6,39.0
2023-06-04,7,91.0
2023-06-04,8,175.0
2023-06-04,9,294.0
2023-06-04,10,319.0
2023-06-04,11,341.0
2023-06-04,12,329.0
2023-06-04,13,345.0
2023-06-04,14,297.0
2023-06-04,15,259.0
2023-06-04,16,262.0
2023-06-04,17,290.0
2023-06-04,18,283.0
2023-06-04,19,255.0
2023-06-04,20,222.0
2023-06-04,21,225.0
2023-06-04,22,125.0
2023-06-04,23,52.0
2023-06-04,24,6.0
2023-06-05,0,19.0
2023-06-05,1,9.0
2023-06-05,2,8.0
2023-06-05,3,13.0
2023-06-05,4,4.0
2023-06-05,5,16.0
2023-06-05,6,47.0
2023-06-05,7,105.0
2023-06-05,8,236.0
2023-06-05,9,332.0
2023-06-05,10,351.0
2023-06-05,11,380.0
2023-06-05,12,346.0
2023-06-05,13,354.0
2023-06-05,14,320.0
2023-06-05,15,247.0
2023-06-05,16,159.0
2023-06-05,17,294.0
2023-06-05,18,254.0
2023-06-05,19,301.0
2023-06-05,20,297.0
2023-06-05,21,251.0
2023-06-05,22,139.0
2023-06-05,23,51.0
2023-06-05,24,7.0
2023-06-06,0,25.0
2023-06-06,1,15.0
2023-06-06,2,2.0
2023-06-06,3,14.0
2023-06-06,4,7.0
2023-06-06,5,21.0
2023-06-06,6,61.0
2023-06-06,7,116.0
2023-06-06,8,232.0
2023-06-06,9,325.0
2023-06-06,10,388.0
2023-06-06,11,382.0
2023-06-06,12,297.0
2023-06-06,13,301.0
2023-06-06,14,288.0
2023-06-06,15,244.0
2023-06-06,16,244.0
2023-06-06,17,236.0
2023-06-06,18,285.0
2023-06-06,19,306.0
2023-06-06,20,311.0
2023-06-06,21,244.0
2023-06-06,22,159.0
2023-06-06,23,46.0
2023-06-06,24,6.0
2023-06-07,0,20.0
2023-06-07,1,7.0
2023-06-07,2,7.0
2023-06-07,3,14.0
2023-06-07,4,12.0
2023-06-07,5,19.0
2023-06-07,6,66.0
2023-06-07,7,118.0
2023-06-07,8,243.0
2023-06-07,9,355.0
2023-06-07,10,379.0
2023-06-07,11,352.0
2023-06-07,12,353.0
2023-06-07,13,293.0
2023-06-07,14,261.0
2023-06-07,15,231.0
2023-06-07,16,232.0
2023-06-07,17,253.0
2023-06-07,18,296.0
2023-06-07,19,340.0
2023-06-07,20,295.0
2023-06-07,21,207.0
2023-06-07,22,134.0
2023-06-07,23,57.0
2023-06-07,24,9.0
2023-06-08,0,29.0
2023-06-08,1,11.0
2023-06-08,2,2.0
2023-06-08,3,8.0
2023-06-08,4,12.0
2023-06-08,5,28.0
2023-06-08,6,71.0
2023-06-08,7,122.0
2023-06-08,8,250.0
2023-06-08,9,361.0
2023-06-08,10,346.0
2023-06-08,11,377.0
2023-06-08,12,332.0
2023-06-08,13,301.0
2023-06-08,14,276.0
2023-06-08,15,229.0
2023-06-08,16,260.0
2023-06-08,17,209.0
2023-06-08,18,245.0
2023-06-08,19,287.0
2023-06-08,20,272.0
2023-06-08,21,208.0
2023-06-08,22,133.0
2023-06-08,23,63.0
2023-06-08,24,7.0
2023-06-09,0,23.0
2023-06-09,1,6.0
2023-06-09,2,7.0
2023-06-09,3,7.0
2023-06-09,4,10.0
2023-06-09,5,16.0
2023-06-09,6,69.0
2023-06-09,7,122.0
2023-06-09,8,251.0
2023-06-09,9,385.0
2023-06-09,10,369.0
2023-06-09,11,366.0
2023-06-09,12,343.0
2023-06-09,13,326.0
2023-06-09,14,277.0
2023-06-09,15,252.0
2023-06-09,16,249.0
2023-06-09,17,251.0
2023-06-09,18,276.0
2023-06-09,19,273.0
2023-06-09,20,241.0
2023-06-09,21,224.0
2023-06-09,22,150.0
2023-06-09,23,64.0
2023-06-09,24,9.0
2023-06-10,0,22.0
2023-06-10,1,14.0
2023-06-10,2,5.0
2023-06-10,3,12.0
2023-06-10,4,20.0
2023-06-10,5,19.0
2023-06-10,6,44.0
2023-06-10,7,98.0
2023-06-10,8,218.0
2023-06-10,9,297.0
2023-06-10,10,415.0
2023-06-10,11,330.0
2023-06-10,12,298.0
2023-06-10,13,270.0
2023-06-10,14,241.0
2023-06-10,15,228.0
2023-06-10,16,222.0
2023-06-10,17,232.0
2023-06-10,18,215.0
2023-06-10,19,225.0
2023-06-10,20,203.0
2023-06-10,21,184.0
2023-06-10,22,112.0
2023-06-10,23,56.0
2023-06-10,24,4.0
2023-06-11,0,24.0
2023-06-11,1,8.0
2023-06-11,2,11.0
2023-06-11,3,8.0
2023-06-11,4,10.0
2023-06-11,5,13.0
2023-06-11,6,37.0
2023-06-11,7,89.0
2023-06-11,8,160.0
2023-06-11,9,269.0
2023-06-11,10,292.0
2023-06-11,11,281.0
2023-06-11,12,289.0
2023-06-11,13,232.0
2023-06-11,14,239.0
2023-06-11,15,213.0
2023-06-11,16,173.0
2023-06-11,17,235.0
2023-06-11,18,165.0
2023-06-11,19,192.0
2023-06-11,20,188.0
2023-06-11,21,195.0
2023-06-11,22,122.0
2023-06-11,23,52.0
2023-06-11,24,4.0
2023-06-12,0,21.0
2023-06-12,1,13.0
2023-06-12,2,9.0
2023-06-12,3,11.0
2023-06-12,4,10.0
2023-06-12,5,14.0
2023-06-12,6,30.0
2023-06-12,7,114.0
2023-06-12,8,184.0
2023-06-12,9,265.0
2023-06-12,10,320.0
2023-06-12,11,315.0
2023-06-12,12,311.0
2023-06-12,13,291.0
2023-06-12,14,271.0
2023-06-12,15,258.0
2023-06-12,16,266.0
2023-06-12,17,269.0
2023-06-12,18,261.0
2023-06-12,19,273.0
2023-06-12,20,241.0
2023-06-12,21,229.0
2023-06-12,22,131.0
2023-06-12,23,46.0
2023-06-12,24,10.0
2023-06-13,0,24.0
2023-06-13,1,16.0
2023-06-13,2,12.0
2023-06-13,3,7.0
2023-06-13,4,4.0
2023-06-13,5,23.0
2023-06-13,6,49.0
2023-06-13,7,102.0
2023-06-13,8,219.0
2023-06-13,9,337.0
2023-06-13,10,348.0
2023-06-13,11,339.0
2023-06-13,12,272.0
2023-06-13,13,316.0
2023-06-13,14,278.0
2023-06-13,15,221.0
2023-06-13,16,197.0
2023-06-13,17,222.0
2023-06-13,18,212.0
2023-06-13,19,242.0
2023-06-13,20,227.0
2023-06-13,21,182.0
2023-06-13,22,95.0
2023-06-13,23,53.0
2023-06-13,24,4.0
2023-06-14,0,19.0
2023-06-14,1,13.0
2023-06-14,2,7.0
2023-06-14,3,11.0
2023-06-14,4,4.0
2023-06-14,5,16.0
2023-06-14,6,53.0
2023-06-14,7,95.0
2023-06-14,8,209.0
2023-06-14,9,288.0
2023-06-14,10,278.0
2023-06-14,11,318.0
2023-06-14,12,270.0
2023-06-14,13,230.0
2023-06-14,14,217.0
2023-06-14,15,192.0
2023-06-14,16,203.0
2023-06-14,17,188.0
2023-06-14,18,225.0
2023-06-14,19,237.0
2023-06-14,20,264.0
2023-06-14,21,209.0
2023-06-14,22,110.0
2023-06-14,23,43.0
2023-06-14,24,6.0
2023-06-15,0,24.0
2023-06-15,1,13.0
2023-06-15,2,12.0
2023-06-15,3,4.0
